@relation '1t_1i-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,15'

@attribute alejado numeric
@attribute app_foreground {com.whatsapp,org.pol.jmgo.qoesurveyor,com.internet.speed.meter.lite,com.netflix.mediaclient,com.sec.android.app.launcher,com.google.android.youtube,com.lge.launcher2,com.huawei.android.launcher,android,com.adobe.reader,com.android.vending,com.android.settings,com.android.vpndialogs,com.twitter.android,com.google.android.apps.docs,com.android.launcher3}
@attribute battery_l numeric
@attribute battery_t numeric
@attribute bw numeric
@attribute devid {63958117e9438e16,2440f9791015c9aa,c8afba09e53d8531,90a72847e24050d1,22dee25d96b05f3e,68af49bcc059f325,8e16d706819d2e0c,7bf44203a040cdc1,acf1f4860469c6fd,94693d24cc813c3f,21499054c7994fc4,7b3d12955096c795,e2f3a59016564a22,da864a689e433b5e,751666ecdd98bfd3,c4a9b97bec0deec7,ffdd93d674719bbc,11d70c1436d1ce27,4261a8320ddd09d0,2e9b9b3b97476bf5,1d966fc8f0e98430,9f174fc0bd3480a6,d88a327ce250630,9c19bb5d04be923e,790c227141314780,bbe3002f6e378eed,e64bbee157aededc,4192432e1cf42d52,6e85b338913ae764,d554e3b29fe24a3b,c35c6393398f7068,4c3dfa2cea50e9bb,332d672c51091609,61d848e7503b5852,867fe59be043d779,a1f8f29e35209a42,4504da30b01769b7,7e4cfd066dafa944,9de8b4b98c575ea5,5a92d851bc704d,a6fb86ca165ca918,65e49509039eb913,247e4508ec4521f9,6c3fa7f635a073f5,7caeb732fb3ad6af,344404a75543aaf0,0264ea70c8976793,3c66f51dbc94d163,dcceb1b848daf324,6f2a6c95c065c7a3,f25d48f8931ef23f,c43e0a23ab297d87,bd016d8f3093b6a4,867287031950897,a32d3af596578938,81410329db99223d,2f41118c2aee66ae,a208a7c4a26d8df7,d71847dfd6b46fcd}
@attribute df_delay numeric
@attribute df_saltos numeric
@attribute ds numeric
@attribute dv_delay numeric
@attribute dv_saltos numeric
@attribute indice_en_prueba numeric
@attribute indice_intervalo numeric
@attribute mood numeric
@attribute ns numeric
@attribute prueba_nro numeric
@attribute ram numeric
@attribute sdk numeric
@attribute st numeric
@attribute t_cpu numeric
@attribute mos {1,2,3,4,5}

@data
104595,?,?,?,0.000001,63958117e9438e16,195.666667,2,6,56,8,1,0,?,4,1,1313.666667,24,4,36.966667,3
68500,com.whatsapp,87,31.566667,0.000001,2440f9791015c9aa,79.666667,2,8,30,8,1,0,4,4,1,648.333333,24,3,31.566667,5
131743,org.pol.jmgo.qoesurveyor,69,31.2,0.000017,c8afba09e53d8531,283,2.4,4,80.6,9,1,0,5,3.4,1,300,23,?,39.333333,1
60000,?,16,29.7,0,90a72847e24050d1,35,1,6,19,9,1,0,?,?,1,372,24,?,42,5
12591,?,?,?,0,22dee25d96b05f3e,?,?,4,?,?,1,0,?,?,1,?,23,?,?,5
479213,?,?,?,0,68af49bcc059f325,111.571429,2,8,45.428571,8,1,2,?,4,1,1275.333333,25,2,0.298667,3
12503,?,?,?,0,8e16d706819d2e0c,?,?,3,?,?,1,53,4,?,1,?,22,?,?,3
60000,org.pol.jmgo.qoesurveyor,?,?,0.000001,7bf44203a040cdc1,271.666667,2,4,413,9,1,0,?,3.4,1,225.5,23,?,?,3
63958,com.internet.speed.meter.lite,?,?,0.000001,acf1f4860469c6fd,368.666667,1,8,78.666667,17,1,0,5,3.4,1,602,25,?,40.348667,5
68097,?,?,?,0.000013,94693d24cc813c3f,2964.5,3,7,107.5,9,1,0,3,3.485714,1,538,23,?,30.125,3
60883,?,24,29.166667,0.000004,21499054c7994fc4,281.333333,2,6,53.333333,9,1,0,?,3.4,1,790.666667,23,?,53.666667,5
2761,com.whatsapp,?,?,0,7b3d12955096c795,?,?,5,?,?,1,16,?,4,1,400.4,25,4,35.36,4
12794,?,49,36.2,0.000001,e2f3a59016564a22,73,2,6,45,8,1,0,3.6,?,1,1611,23,?,36.2,5
80751,com.netflix.mediaclient,79,27.5,0.000039,da864a689e433b5e,191,2,6,144.5,20.5,1,10,?,3.4,1,180,23,?,50.666667,5
62587,com.sec.android.app.launcher,99.333333,28.933333,0,751666ecdd98bfd3,232.5,1,3,226.5,17,1,0,3,3.355556,1,230,22,?,44,1
119711,com.whatsapp,56,32.4,0.000001,c4a9b97bec0deec7,84.5,2,7,55,9,1,1,5,4,1,274.666667,24,2.666667,48.333333,5
