@relation 'data_filled_r-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,13'

@attribute alejado numeric
@attribute battery_l numeric
@attribute battery_t numeric
@attribute bw numeric
@attribute df_delay numeric
@attribute df_saltos numeric
@attribute ds numeric
@attribute dv_delay numeric
@attribute dv_saltos numeric
@attribute indice_en_prueba numeric
@attribute indice_intervalo numeric
@attribute mood numeric
@attribute ns numeric
@attribute prueba_nro numeric
@attribute ram numeric
@attribute sdk numeric
@attribute st numeric
@attribute t_cpu numeric
@attribute app_foreground {com.whatsapp,org.pol.jmgo.qoesurveyor,com.internet.speed.meter.lite,com.netflix.mediaclient,com.sec.android.app.launcher,com.google.android.youtube,com.lge.launcher2,com.huawei.android.launcher,android,com.adobe.reader,com.android.vending,com.android.settings,com.android.vpndialogs,com.twitter.android,com.google.android.apps.docs,com.android.launcher3}
@attribute devid {63958117e9438e16,2440f9791015c9aa,c8afba09e53d8531,90a72847e24050d1,22dee25d96b05f3e,68af49bcc059f325,8e16d706819d2e0c,7bf44203a040cdc1,acf1f4860469c6fd,94693d24cc813c3f,21499054c7994fc4,7b3d12955096c795,e2f3a59016564a22,da864a689e433b5e,751666ecdd98bfd3,c4a9b97bec0deec7,ffdd93d674719bbc,11d70c1436d1ce27,4261a8320ddd09d0,2e9b9b3b97476bf5,1d966fc8f0e98430,9f174fc0bd3480a6,d88a327ce250630,9c19bb5d04be923e,790c227141314780,bbe3002f6e378eed,e64bbee157aededc,4192432e1cf42d52,6e85b338913ae764,d554e3b29fe24a3b,c35c6393398f7068,4c3dfa2cea50e9bb,332d672c51091609,61d848e7503b5852,867fe59be043d779,a1f8f29e35209a42,4504da30b01769b7,7e4cfd066dafa944,9de8b4b98c575ea5,5a92d851bc704d,a6fb86ca165ca918,65e49509039eb913,247e4508ec4521f9,6c3fa7f635a073f5,7caeb732fb3ad6af,344404a75543aaf0,0264ea70c8976793,3c66f51dbc94d163,dcceb1b848daf324,6f2a6c95c065c7a3,f25d48f8931ef23f,c43e0a23ab297d87,bd016d8f3093b6a4,867287031950897,a32d3af596578938,81410329db99223d,2f41118c2aee66ae,a208a7c4a26d8df7,d71847dfd6b46fcd}
@attribute mos numeric

@data
131743,69,31.2,0.000017,283,2.4,4,80.6,9,1,0,5,3.4,1,300,23,2,39.333333,org.pol.jmgo.qoesurveyor,c8afba09e53d8531,1
62587,99.333333,28.933333,0,232.5,1,3,226.5,17,1,0,3,3.355556,1,230,22,4,44,com.sec.android.app.launcher,751666ecdd98bfd3,1
4610,87,36.2,0,74.5,2,8,32.5,8,1,0,4,3.4,1,1164,26,3,30.5,?,4c3dfa2cea50e9bb,1
58596,55,31.133333,0.000012,67,2,6,30,9,1,5,5,4,1,484.333333,24,2,39,com.whatsapp,61d848e7503b5852,1
97659,41,34.733333,0.000082,70.666667,2,8,34.666667,9,1,32,5,4,1,652.333333,26,4,0.416667,com.twitter.android,c43e0a23ab297d87,1
103493,98,27,0.000001,506.666667,1,6,209.666667,17,1,0,3,3,1,235,23,4,27.2915,com.lge.launcher2,bbe3002f6e378eed,2
60000,89,31.7,0,74.5,2,7,45,9,1,0,4,4,1,729.5,24,3,26.333333,?,65e49509039eb913,2
73666,19.666667,27.366667,0,103.333333,2,3,52.333333,8,1,0,5,4,1,750,24,4,37.333333,com.android.vending,6f2a6c95c065c7a3,2
58935,49,26.95,0.000087,955,2,6,56.5,9,1,13,4,4,1,405,24,2,37.5,com.google.android.youtube,f25d48f8931ef23f,2
124186,100,8.2,0.000646,91.5,2,8,32.5,9,1,0,4,4,1,990,24,2,36.9325,?,a208a7c4a26d8df7,2
104595,99.333333,33.6,0.000001,195.666667,2,6,56,8,1,0,4,4,1,1313.666667,24,4,36.966667,?,63958117e9438e16,3
479213,41,31.566667,0,111.571429,2,8,45.428571,8,1,2,5,4,1,1275.333333,25,2,0.298667,?,68af49bcc059f325,3
12503,26.333333,32.2,0,506.666667,2,3,58.666667,8,1,53,4,4,1,429.666667,22,4,39.333333,?,8e16d706819d2e0c,3
60000,83,32.4,0.000001,271.666667,2,4,413,9,1,0,4,3.4,1,225.5,23,2,35.066667,org.pol.jmgo.qoesurveyor,7bf44203a040cdc1,3
68097,79,28.933333,0.000013,2964.5,3,7,107.5,9,1,0,3,3.485714,1,538,23,3,30.125,?,94693d24cc813c3f,3
123882,63,33.6,0,550.333333,1,8,83.666667,17,1,1,4,3.266667,1,729.5,24,4,33.5,org.pol.jmgo.qoesurveyor,ffdd93d674719bbc,3
25892,100,26.95,0,74.5,2,8,14.666667,9,1,0,3.357143,4,1,1561,26,3,32.7,org.pol.jmgo.qoesurveyor,2e9b9b3b97476bf5,3
60409,29.5,38.766667,0.000015,36.333333,2,8,21,9,1,0,3.6,4,1,1149.333333,26,4,33.007333,com.huawei.android.launcher,e64bbee157aededc,3
64828,63,20.7,0.000021,74.5,1,7,70,17,1,0,4,4,1,624.333333,25,2,0.478333,org.pol.jmgo.qoesurveyor,a6fb86ca165ca918,3
84609,29.5,26.45,0.000004,13,1,9,6.5,10,1,0,3,4,1,3623,27,4,26.45,org.pol.jmgo.qoesurveyor,6c3fa7f635a073f5,3
60598,59,32.4,0.000002,75.333333,1,9,45.428571,9,1,0,3,4,1,3182,27,3,32.4,com.google.android.youtube,0264ea70c8976793,3
60000,83,30.233333,0,74.5,2,9,37.5,9,1,0,4,4,1,2103,26,4,39.166667,com.android.vpndialogs,3c66f51dbc94d163,3
414589,16,34.733333,0,200,1,4,52.333333,9,1,0,2.5,3.4,1,484.333333,23,4,36.2,?,dcceb1b848daf324,3
59516,89,31.6,0,14.5,1,9,11,10,1,11,4,4,1,2700,27,3,31.6,com.android.settings,867287031950897,3
57983,49,36.2,0.000001,52.333333,1,8,70.333333,17,1,20,3,4,1,1244,26,3,34.4,com.android.launcher3,a32d3af596578938,3
8926,87,36.2,0,74.5,2,9,45.428571,9,1,0,3,3.4,1,1244,27,4,0.298667,?,d71847dfd6b46fcd,3
2761,53,36.2,0,83,2,5,56,8,1,16,4,4,1,400.4,25,4,35.36,com.whatsapp,7b3d12955096c795,4
59493,89,28.366667,0.000067,483.333333,2,6,153.333333,8,1,16,3.666667,3.485714,1,378,24,4,41.333333,com.google.android.youtube,9c19bb5d04be923e,4
12719,83,31,0,144.333333,2,6,58.666667,9,1,11,5,4,1,188.666667,23,4,30.5,?,4504da30b01769b7,4
126297,84,24.133333,0.000012,84.333333,1,5,72.333333,17,1,10,5,4,1,477.333333,23,2,35.066667,org.pol.jmgo.qoesurveyor,7caeb732fb3ad6af,4
6715712,57,24.133333,0.000004,200,2,3,44,8,1,43,4,4,1,905.666667,23,2,33.5,?,344404a75543aaf0,4
130806,53,8.2,0.000002,200,2,4,46.666667,9,1,0,4,3.4,1,280,23,2,67.333333,?,2f41118c2aee66ae,4
68500,87,31.566667,0.000001,79.666667,2,8,30,8,1,0,4,4,1,648.333333,24,3,31.566667,com.whatsapp,2440f9791015c9aa,5
60000,16,29.7,0,35,1,6,19,9,1,0,3,4,1,372,24,4,42,?,90a72847e24050d1,5
12591,83,31,0,550.333333,3,4,226.5,8,1,0,4.5,3.371429,1,1275.333333,23,4,36.966667,?,22dee25d96b05f3e,5
63958,92,33.6,0.000001,368.666667,1,8,78.666667,17,1,0,5,3.4,1,602,25,4,40.348667,com.internet.speed.meter.lite,acf1f4860469c6fd,5
60883,24,29.166667,0.000004,281.333333,2,6,53.333333,9,1,0,4,3.4,1,790.666667,23,4,53.666667,?,21499054c7994fc4,5
12794,49,36.2,0.000001,73,2,6,45,8,1,0,3.6,4,1,1611,23,4,36.2,?,e2f3a59016564a22,5
80751,79,27.5,0.000039,191,2,6,144.5,20.5,1,10,4,3.4,1,180,23,2,50.666667,com.netflix.mediaclient,da864a689e433b5e,5
119711,56,32.4,0.000001,84.5,2,7,55,9,1,1,5,4,1,274.666667,24,2.666667,48.333333,com.whatsapp,c4a9b97bec0deec7,5
8226,46,31.7,0,67,2,6,19,10,1,3,4.5,4,1,280,24,2,48.333333,?,11d70c1436d1ce27,5
217179,84,28.933333,0,292.666667,2,6,144.5,20.5,1,0,5,4,1,164.25,22,2,35,org.pol.jmgo.qoesurveyor,4261a8320ddd09d0,5
58199,89,36.2,0.00001,83,2,8,50.666667,8,1,5,3,4,1,849,23,4,38.441,com.google.android.youtube,1d966fc8f0e98430,5
33514,46,32.2,0,111.571429,2,2,72.333333,9,1,0,3,4,1,274,22,4,32.2,org.pol.jmgo.qoesurveyor,9f174fc0bd3480a6,5
319689,87,20.533333,0,87,2,7,72.333333,9,1,49,4,3.475,1,764.333333,24,4,38.441,?,d88a327ce250630,5
51722,49,29.7,0,195.666667,2,7,58.333333,17,1,22,3,4,1,624.333333,22,4,42,?,790c227141314780,5
57626,87,32.4,0.000004,136,2,7,46.666667,8,1,0,3,3.488889,1,534,21,3,36.966667,?,4192432e1cf42d52,5
80142,92,20.533333,0,87,2,7,54.5,8,1,11,5,4,1,905.666667,24,2.666667,26.333333,android,6e85b338913ae764,5
122038,6,28.3,0.000012,100.25,2,5,51,9,1,0,3.5,4,1,261.333333,23,3,43.466667,?,d554e3b29fe24a3b,5
118030,19.666667,33.166667,0.000053,153.5,2,6,30.5,9,1,0,5,4,1,460.666667,24,3,57,com.google.android.youtube,c35c6393398f7068,5
62986,21,20.7,0.000001,115,1,6,19,10,1,0,3,3.5,1,412.666667,24,4,33,?,332d672c51091609,5
61617,22,27.366667,0.000071,153,2,5,147,9,1,0,4,3.371429,1,177,21,3,48,com.adobe.reader,867fe59be043d779,5
60145,57,31.7,0.000003,97.666667,2,8,14.666667,9,1,0,3.666667,4,1,358.333333,24,4,31.083333,?,a1f8f29e35209a42,5
113620,75,28.4,0.000001,118.666667,2,6,58,8,1,0,3,4,1,534,24,3,41.666667,?,7e4cfd066dafa944,5
97539,100,32.766667,0,125.333333,2,7,44,9,1,0,4,4,1,764.333333,24,4,32.766667,com.android.vending,9de8b4b98c575ea5,5
60440,59.666667,38.766667,0.000021,292.666667,2,6,221.666667,8,1,0,4.5,3.352941,1,429.666667,22,4,56.333333,com.android.settings,5a92d851bc704d,5
120128,29.5,28.3,0.000006,74.5,2,9,32.5,9,1,0,4,4,1,2103,26,4,40.348667,?,247e4508ec4521f9,5
63864,76,27.7,0.000176,136,2,7,54,9,1,0,5,4,1,840,23,3,52,com.google.android.apps.docs,bd016d8f3093b6a4,5
61586,26.333333,27.7,0.00002,75.333333,2,5,58.333333,17,1,6,3,4,1,440.333333,23,4,39.433333,?,81410329db99223d,5
