@relation 'data_filled_r-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,13'

@attribute alejado numeric
@attribute battery_l numeric
@attribute battery_t numeric
@attribute bw numeric
@attribute df_delay numeric
@attribute df_saltos numeric
@attribute ds numeric
@attribute dv_delay numeric
@attribute dv_saltos numeric
@attribute indice_en_prueba numeric
@attribute indice_intervalo numeric
@attribute mood numeric
@attribute ns numeric
@attribute prueba_nro numeric
@attribute ram numeric
@attribute sdk numeric
@attribute st numeric
@attribute t_cpu numeric
@attribute app_foreground {com.whatsapp,com.google.android.youtube,org.pol.jmgo.qoesurveyor,com.internet.speed.meter.lite,com.sec.android.app.launcher,com.zerodesktop.appdetox.qualitytime,com.spotify.music,com.google.android.apps.maps,com.lge.launcher2,com.huawei.android.launcher,android,com.adobe.reader,net.oneplus.launcher,com.android.chrome,com.android.vpndialogs,com.android.vending,com.google.android.apps.docs}
@attribute devid {63958117e9438e16,2440f9791015c9aa,c8afba09e53d8531,90a72847e24050d1,22dee25d96b05f3e,68af49bcc059f325,8e16d706819d2e0c,7bf44203a040cdc1,acf1f4860469c6fd,94693d24cc813c3f,21499054c7994fc4,7b3d12955096c795,e2f3a59016564a22,751666ecdd98bfd3,c4a9b97bec0deec7,ffdd93d674719bbc,11d70c1436d1ce27,4261a8320ddd09d0,2e9b9b3b97476bf5,1d966fc8f0e98430,9f174fc0bd3480a6,d88a327ce250630,9c19bb5d04be923e,790c227141314780,bbe3002f6e378eed,e64bbee157aededc,4192432e1cf42d52,6e85b338913ae764,d554e3b29fe24a3b,c35c6393398f7068,332d672c51091609,61d848e7503b5852,867fe59be043d779,a1f8f29e35209a42,4504da30b01769b7,7e4cfd066dafa944,9de8b4b98c575ea5,5a92d851bc704d,a6fb86ca165ca918,65e49509039eb913,247e4508ec4521f9,6c3fa7f635a073f5,7caeb732fb3ad6af,344404a75543aaf0,0264ea70c8976793,3c66f51dbc94d163,dcceb1b848daf324,6f2a6c95c065c7a3,f25d48f8931ef23f,c43e0a23ab297d87,bd016d8f3093b6a4,867287031950897,81410329db99223d,2f41118c2aee66ae,a208a7c4a26d8df7,d71847dfd6b46fcd}
@attribute mos numeric

@data
104595,29.5,39.2,0.000001,195.666667,2,6,56,8,1,0,5,4,1,1313.666667,24,4,36.966667,?,63958117e9438e16,3
68500,87,31.566667,0.000001,79.666667,2,8,30,8,1,0,4,4,1,648.333333,24,3,31.566667,com.whatsapp,2440f9791015c9aa,5
3618959,76,32.2,0,153,1,4,72.333333,10,1,8,4,4,3,164.25,23,4,38.666667,?,c8afba09e53d8531,5
60000,16,29.7,0,35,1,6,19,9,1,0,3,4,1,372,24,4,42,?,90a72847e24050d1,5
12591,22,31.566667,0,116.666667,1,4,51,17,1,0,4,4,1,316,23,4,31.566667,?,22dee25d96b05f3e,5
479213,83,32.4,0,111.571429,2,8,45.428571,8,1,2,3,4,1,1275.333333,25,2,0.298667,?,68af49bcc059f325,3
54513,99,39.2,0.00004,91.333333,1,3,85.666667,17,1,74,3.4,3.346667,6,845.333333,22,2.666667,56.666667,com.google.android.youtube,8e16d706819d2e0c,3
60000,69,36.2,0.000001,271.666667,2,4,413,9,1,0,5,3.4,1,225.5,23,4,33.8,org.pol.jmgo.qoesurveyor,7bf44203a040cdc1,3
63958,57,28.933333,0.000001,368.666667,1,8,78.666667,17,1,0,5,3.4,1,602,25,3,40.348667,com.internet.speed.meter.lite,acf1f4860469c6fd,5
68097,98,36.2,0.000013,2964.5,3,7,107.5,9,1,0,3,3.485714,1,538,23,4,30.125,?,94693d24cc813c3f,3
60883,24,29.166667,0.000004,281.333333,2,6,53.333333,9,1,0,4,3.4,1,790.666667,23,4,53.666667,?,21499054c7994fc4,5
2761,79,29.166667,0,32.5,2,5,147,9,1,16,3.6,4,1,400.4,25,4,35.36,com.whatsapp,7b3d12955096c795,4
12794,49,36.2,0.000001,73,2,6,45,8,1,0,3.6,4,1,1611,23,2.666667,36.2,?,e2f3a59016564a22,5
62587,99.333333,28.933333,0,232.5,1,3,226.5,17,1,0,3,3.355556,1,230,22,4,44,com.sec.android.app.launcher,751666ecdd98bfd3,1
119711,56,32.4,0.000001,84.5,2,7,55,9,1,1,5,4,1,274.666667,24,2.666667,48.333333,com.whatsapp,c4a9b97bec0deec7,5
126847,63.6,33.86,0,439,1,8,348.25,17,1,0,4,3,5,768.6,24,4,33.8,com.zerodesktop.appdetox.qualitytime,ffdd93d674719bbc,4
60000,6,36.2,0,32.5,1,6,6.5,17,1,4,3,4,2,164.25,24,2.666667,42,?,11d70c1436d1ce27,5
217179,26.333333,39.2,0,115,1,6,56,17,1,0,5,4,1,164.25,22,4,35,org.pol.jmgo.qoesurveyor,4261a8320ddd09d0,5
25892,29.5,39.2,0,45.632653,2,8,34.5,9,1,0,3.357143,4,1,1561,26,2.666667,32.7,org.pol.jmgo.qoesurveyor,2e9b9b3b97476bf5,3
87438,76,32.2,0.00009,84.333333,2,8,53.333333,8,1,6,4,4,3,810,23,2.666667,40.848667,com.google.android.youtube,1d966fc8f0e98430,5
33514,46,32.2,0,97.666667,2,2,52.333333,9,1,0,2.5,4,1,274,22,2,32.2,org.pol.jmgo.qoesurveyor,9f174fc0bd3480a6,5
50508,46,25.65,0.000002,439,2,7,209.666667,9,1,51,5,3.36,7,1661.5,24,4,25.55,com.spotify.music,d88a327ce250630,1
68944,100,28.033333,0.000017,116.666667,2,6,64.333333,8,1,7,4,3.4,6,430,24,4,46.666667,com.google.android.apps.maps,9c19bb5d04be923e,5
264026,73,28.033333,0,115,2,7,30,8,1,0,2.5,4,2,272,22,4,33,?,790c227141314780,4
103493,98,27,0.000001,506.666667,1,6,209.666667,17,1,0,3,3,1,235,23,4,27.2915,com.lge.launcher2,bbe3002f6e378eed,2
60409,75.333333,20.7,0.000015,36.333333,2,8,21,9,1,0,4,4,1,1149.333333,26,4,33.007333,com.huawei.android.launcher,e64bbee157aededc,3
57626,41.666667,28.033333,0.000004,232.5,1,7,226.5,10,1,0,5,3.488889,1,666.333333,21,4,48.333333,?,4192432e1cf42d52,5
80142,92,20.533333,0,87,2,7,54.5,8,1,11,5,4,1,905.666667,24,2.666667,26.333333,android,6e85b338913ae764,5
122038,6,28.3,0.000012,100.25,2,5,51,9,1,0,3.5,4,1,261.333333,23,2.666667,43.466667,?,d554e3b29fe24a3b,5
118030,19.666667,33.166667,0.000053,153.5,2,6,30.5,9,1,0,5,4,1,460.666667,24,3,57,com.google.android.youtube,c35c6393398f7068,5
62986,21,20.7,0.000001,115,1,6,19,10,1,0,3,3.5,1,412.666667,24,4,33,?,332d672c51091609,5
58596,55,31.133333,0.000012,67,2,6,30,9,1,5,3,4,1,484.333333,24,2,39,com.whatsapp,61d848e7503b5852,1
61617,22,27.366667,0.000071,153,2,5,147,9,1,0,5,3.371429,1,177,21,4,48,com.adobe.reader,867fe59be043d779,5
60145,57,31.7,0.000003,97.666667,2,8,14.666667,9,1,0,3.666667,4,1,358.333333,24,4,31.083333,?,a1f8f29e35209a42,5
14822,82,27,0,506.666667,1,6,348.25,17,1,0,5,3.488889,2,187,23,4,27,?,4504da30b01769b7,5
230260,73,29.133333,0,74.666667,2,6,69.333333,8,1,2,3,4,2,748,24,3,38.666667,?,7e4cfd066dafa944,4
84240,100,31.133333,0.000003,112.5,2,7,54.25,8,1,8,4,4,3,814.666667,24,4,31.133333,com.lge.launcher2,9de8b4b98c575ea5,4
60000,76,27.7,0,170,2,6,30,9,1,7,4,4,2,235,22,4,30.125,?,5a92d851bc704d,5
64828,55,31.9,0.000021,74.5,1,7,70,17,1,0,4,4,1,624.333333,25,2,0.478333,org.pol.jmgo.qoesurveyor,a6fb86ca165ca918,3
60000,63.6,23.65,0,32.5,2,7,21,9,1,0,4,4,1,624.333333,24,2.666667,27.2915,?,65e49509039eb913,2
57910,79,31.9,0.000001,45.632653,1,9,66.416667,17,1,19,4,4,3,1152.96,26,2.333333,31.9,net.oneplus.launcher,247e4508ec4521f9,4
84609,29.5,26.45,0.000004,13,1,9,6.5,10,1,0,3,4,1,3623,27,4,26.45,org.pol.jmgo.qoesurveyor,6c3fa7f635a073f5,3
126297,84,24.133333,0.000012,84.333333,1,5,72.333333,17,1,10,5,4,1,477.333333,23,3,35.066667,org.pol.jmgo.qoesurveyor,7caeb732fb3ad6af,4
60000,41.666667,39,0.000031,130.333333,1,3,150,17,1,0,4,3.4,2,946.666667,22,4,59.666667,com.google.android.youtube,344404a75543aaf0,5
165089,65,30.45,0,12,1,9,12,10,1,35,3,4,2,3846,27,3,30.45,com.android.chrome,0264ea70c8976793,5
60000,83,30.233333,0,74.5,2,9,37.5,9,1,0,4,4,1,2103,26,4,39.166667,com.android.vpndialogs,3c66f51dbc94d163,3
414589,29.5,27,0,195.666667,2,4,52.333333,8,1,0,2.5,4,1,748,23,4,26.333333,?,dcceb1b848daf324,3
73666,69,26.45,0,103.333333,2,3,52.333333,8,1,0,5,4,1,750,24,4,37.333333,com.android.vending,6f2a6c95c065c7a3,2
50582,76,23.65,0.000041,32.5,1,6,24.5,10,1,15,4,4,3,316,24,2,31,android,f25d48f8931ef23f,3
60855,75.333333,34.966667,0.000027,170,2,8,34.5,9,1,0,5,4,2,666.333333,26,4,0.456333,org.pol.jmgo.qoesurveyor,c43e0a23ab297d87,4
63864,76,27.7,0.000176,136,2,7,54,9,1,0,5,4,1,840,23,4,52,com.google.android.apps.docs,bd016d8f3093b6a4,5
33733,69,28.7,0,75,2,9,41,9,1,0,3,4,3,3073,27,4,28.7,com.google.android.youtube,867287031950897,3
61586,26.333333,27.7,0.00002,75.333333,2,5,58.333333,17,1,6,3,4,1,440.333333,23,2,39.433333,?,81410329db99223d,5
60000,6,24.133333,0,97.666667,1,4,147,17,1,1,5,4,2,274,23,2,35.066667,?,2f41118c2aee66ae,5
124186,75.333333,24.133333,0.000646,91.5,2,8,32.5,9,1,0,4,4,1,990,24,4,36.9325,?,a208a7c4a26d8df7,2
8926,99.333333,24.133333,0,12,2,9,12,9,1,0,4,4,1,1152.96,27,3,0.478333,?,d71847dfd6b46fcd,3
