@relation 'all-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,4-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,15'

@attribute alejado numeric
@attribute battery_l numeric
@attribute battery_t numeric
@attribute bw numeric
@attribute devid {63958117e9438e16,2440f9791015c9aa,c8afba09e53d8531,90a72847e24050d1,22dee25d96b05f3e,68af49bcc059f325,8e16d706819d2e0c,7bf44203a040cdc1,acf1f4860469c6fd,94693d24cc813c3f,21499054c7994fc4,7b3d12955096c795,e2f3a59016564a22,da864a689e433b5e,751666ecdd98bfd3,c4a9b97bec0deec7,ffdd93d674719bbc,11d70c1436d1ce27,4261a8320ddd09d0,2e9b9b3b97476bf5,1d966fc8f0e98430,9f174fc0bd3480a6,d88a327ce250630,9c19bb5d04be923e,790c227141314780,bbe3002f6e378eed,e64bbee157aededc,4192432e1cf42d52,6e85b338913ae764,d554e3b29fe24a3b,c35c6393398f7068,4c3dfa2cea50e9bb,332d672c51091609,61d848e7503b5852,867fe59be043d779,a1f8f29e35209a42,4504da30b01769b7,7e4cfd066dafa944,9de8b4b98c575ea5,5a92d851bc704d,a6fb86ca165ca918,65e49509039eb913,247e4508ec4521f9,6c3fa7f635a073f5,7caeb732fb3ad6af,344404a75543aaf0,0264ea70c8976793,3c66f51dbc94d163,dcceb1b848daf324,6f2a6c95c065c7a3,f25d48f8931ef23f,c43e0a23ab297d87,bd016d8f3093b6a4,867287031950897,a32d3af596578938,81410329db99223d,2f41118c2aee66ae,a208a7c4a26d8df7,d71847dfd6b46fcd}
@attribute df_delay numeric
@attribute df_saltos numeric
@attribute ds numeric
@attribute dv_delay numeric
@attribute dv_saltos numeric
@attribute indice_en_prueba numeric
@attribute indice_intervalo numeric
@attribute mood numeric
@attribute ns numeric
@attribute prueba_nro numeric
@attribute ram numeric
@attribute sdk numeric
@attribute st numeric
@attribute t_cpu numeric
@attribute app_foreground {com.whatsapp,com.android.chrome,org.pol.jmgo.qoesurveyor,com.android.vending,com.twitter.android,com.netflix.mediaclient,android,com.sec.android.app.launcher,com.android.settings,com.google.android.youtube,com.android.launcher,com.itau.latam.py.tarjetas,com.internet.speed.meter.lite,com.facebook.lite,com.facebook.katana,com.android.vpndialogs,com.samsung.android.email.provider,com.zerodesktop.appdetox.qualitytime,com.juvomobileinc.tigoshop.py,com.android.systemui,org.telegram.plus,com.sec.android.app.sbrowser,com.spotify.music,com.facebook.moments,com.ACP.ClinicalGuidelines,py.com.abc.abctv,uk.co.bbc.mundo,org.khanacademy.android,com.adobe.psmobile,com.samsung.android.incallui,com.scdgroup.app.englishspeakvocal,com.google.android.googlequicksearchbox,com.google.android.apps.maps,jp.konami.duellinks,com.lge.launcher2,com.huawei.android.launcher,com.google.android.apps.docs,com.samsung.android.spay,com.adobe.reader,com.garmin.android.apps.connectmobile,com.android.incallui,com.sonyericsson.home,com.waze,com.musixmatch.android.lyrify,net.oneplus.launcher,com.google.android.gms,com.android.phone,com.jaraxa.todocoleccion,com.supercell.clashofclans,com.sonelli.juicessh,com.instagram.android,py.com.itau.tokpag,org.mozilla.firefox,com.android.launcher3,com.amazon.avod.thirdpartyclient}
@attribute mos {1,2,3,4,5}

@data
104595,?,?,2108036.890646,63958117e9438e16,195.666667,2,6,56,8,1,0,?,4,1,1313.666667,24,4,36.966667,?,3
155969,?,?,315190.161694,63958117e9438e16,106.5,2,6,55.75,8,2,1,?,4,1,1334.333333,24,2.333333,38.733333,?,4
202944,?,?,40784.997489,63958117e9438e16,573,2,6,52,8,3,2,?,4,1,1293.25,24,2.5,39.45,?,4
258038,?,?,922945.93444,63958117e9438e16,98,2,6,44.666667,8,4,3,?,4,1,1205.666667,24,4,41.066667,?,5
313734,?,?,22852.463898,63958117e9438e16,110.333333,2,6,54.333333,8,5,4,?,4,1,1213.333333,24,3.333333,42.333333,?,4
368362,?,?,10445.437654,63958117e9438e16,136.333333,2,6,78.333333,8,6,5,?,4,1,1201.333333,24,2.333333,43.133333,?,2
424318,?,?,26628019.323671,63958117e9438e16,119,2,6,53.333333,8,7,6,?,4,1,1162,24,2,43.866667,?,1
480565,?,?,165368.562884,63958117e9438e16,217.666667,2,6,55.333333,8,8,7,?,4,1,1169.666667,24,2,44.533333,?,3
537573,?,?,382127.630074,63958117e9438e16,330.5,2,6,72.5,8,9,8,?,4,1,1171,24,1.666667,45.233333,?,4
68500,87,31.566667,810284.378652,2440f9791015c9aa,79.666667,2,8,30,8,1,0,4,4,1,648.333333,24,3,31.566667,com.whatsapp,5
124180,87,31.7,2703.021767,2440f9791015c9aa,129,2,8,39.75,8,2,1,4,4,1,644,24,3,31.7,com.whatsapp,5
179333,87,32,119334.48078,2440f9791015c9aa,77.5,2,8,31.5,8,3,2,4,4,1,637.333333,24,3,32,com.whatsapp,5
251016,87,32.166667,184749.455338,2440f9791015c9aa,95.5,2,8,39,8,4,3,4,4,1,595,24,3,32.166667,com.whatsapp,5
296603,86.5,32.65,150895.944671,2440f9791015c9aa,131,2,8,25.5,8,5,4,4,?,1,568.5,24,?,32.65,com.android.chrome,5
354090,86,33.133333,6522.552031,2440f9791015c9aa,273.333333,2,8,70.333333,8,6,5,4,?,1,566.666667,24,?,33.133333,com.android.chrome,5
409308,86,33.3,1002409.638554,2440f9791015c9aa,84.75,2,8,31,8,7,6,4,?,1,553.666667,24,?,33.3,com.android.chrome,5
131743,69,31.2,3732964.37219,c8afba09e53d8531,283,2.4,4,80.6,9,1,0,5,3.4,1,300,23,?,39.333333,org.pol.jmgo.qoesurveyor,1
196091,65.5,33.35,0,c8afba09e53d8531,121.5,2,4,56.5,9,1,1,5,3.4,4,348.75,23,?,48.25,com.android.vending,5
366854,63,34.266667,0,c8afba09e53d8531,1037.25,2.5,4,133.25,9,2,2,5,3.4,4,352,23,?,45.666667,com.twitter.android,5
422116,62.666667,34.2,0,c8afba09e53d8531,999.25,2.5,4,44.5,9,3,3,5,3.4,4,336.333333,23,?,44.333333,com.whatsapp,5
477966,62,34.133333,0,c8afba09e53d8531,190.5,3,4,59.25,9,4,4,5,3.4,4,336,23,?,43.333333,com.whatsapp,5
535550,61.666667,34.033333,0,c8afba09e53d8531,619.25,2.75,4,67.75,9,5,5,5,3.4,4,340,23,?,41.333333,com.netflix.mediaclient,5
590694,61,34.033333,0,c8afba09e53d8531,203.666667,2,4,37.333333,9,6,6,5,3.4,4,326.333333,23,?,41.333333,com.netflix.mediaclient,5
91076,61,34.366667,92942.201568,c8afba09e53d8531,513.25,2,4,59.75,9,1,7,?,3.4,5,416.666667,23,?,49,android,5
3618959,?,?,0,c8afba09e53d8531,?,?,4,?,?,1,8,?,?,3,?,23,?,?,?,5
