@relation 'data_filled_r-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,13'

@attribute alejado numeric
@attribute battery_l numeric
@attribute battery_t numeric
@attribute bw numeric
@attribute df_delay numeric
@attribute df_saltos numeric
@attribute ds numeric
@attribute dv_delay numeric
@attribute dv_saltos numeric
@attribute indice_en_prueba numeric
@attribute indice_intervalo numeric
@attribute mood numeric
@attribute ns numeric
@attribute prueba_nro numeric
@attribute ram numeric
@attribute sdk numeric
@attribute st numeric
@attribute t_cpu numeric
@attribute app_foreground {com.whatsapp,com.android.chrome,org.pol.jmgo.qoesurveyor,com.android.vending,com.twitter.android,com.netflix.mediaclient,android,com.sec.android.app.launcher,com.android.settings,com.google.android.youtube,com.android.launcher,com.itau.latam.py.tarjetas,com.internet.speed.meter.lite,com.facebook.lite,com.facebook.katana,com.android.vpndialogs,com.samsung.android.email.provider,com.zerodesktop.appdetox.qualitytime,com.juvomobileinc.tigoshop.py,com.android.systemui,org.telegram.plus,com.sec.android.app.sbrowser,com.spotify.music,com.facebook.moments,com.ACP.ClinicalGuidelines,py.com.abc.abctv,uk.co.bbc.mundo,org.khanacademy.android,com.adobe.psmobile,com.samsung.android.incallui,com.scdgroup.app.englishspeakvocal,com.google.android.googlequicksearchbox,com.google.android.apps.maps,jp.konami.duellinks,com.lge.launcher2,com.huawei.android.launcher,com.google.android.apps.docs,com.samsung.android.spay,com.adobe.reader,com.garmin.android.apps.connectmobile,com.android.incallui,com.sonyericsson.home,com.waze,com.musixmatch.android.lyrify,net.oneplus.launcher,com.google.android.gms,com.android.phone,com.jaraxa.todocoleccion,com.supercell.clashofclans,com.sonelli.juicessh,com.instagram.android,py.com.itau.tokpag,org.mozilla.firefox,com.android.launcher3,com.amazon.avod.thirdpartyclient}
@attribute devid {63958117e9438e16,2440f9791015c9aa,c8afba09e53d8531,90a72847e24050d1,22dee25d96b05f3e,68af49bcc059f325,8e16d706819d2e0c,7bf44203a040cdc1,acf1f4860469c6fd,94693d24cc813c3f,21499054c7994fc4,7b3d12955096c795,e2f3a59016564a22,da864a689e433b5e,751666ecdd98bfd3,c4a9b97bec0deec7,ffdd93d674719bbc,11d70c1436d1ce27,4261a8320ddd09d0,2e9b9b3b97476bf5,1d966fc8f0e98430,9f174fc0bd3480a6,d88a327ce250630,9c19bb5d04be923e,790c227141314780,bbe3002f6e378eed,e64bbee157aededc,4192432e1cf42d52,6e85b338913ae764,d554e3b29fe24a3b,c35c6393398f7068,4c3dfa2cea50e9bb,332d672c51091609,61d848e7503b5852,867fe59be043d779,a1f8f29e35209a42,4504da30b01769b7,7e4cfd066dafa944,9de8b4b98c575ea5,5a92d851bc704d,a6fb86ca165ca918,65e49509039eb913,247e4508ec4521f9,6c3fa7f635a073f5,7caeb732fb3ad6af,344404a75543aaf0,0264ea70c8976793,3c66f51dbc94d163,dcceb1b848daf324,6f2a6c95c065c7a3,f25d48f8931ef23f,c43e0a23ab297d87,bd016d8f3093b6a4,867287031950897,a32d3af596578938,81410329db99223d,2f41118c2aee66ae,a208a7c4a26d8df7,d71847dfd6b46fcd}
@attribute mos {1,2,3,4,5}

@data
424318,57.333333,36.2,26628019.323672,119,2,6,53.333333,8,7,6,3,4,1,1162,24,2,43.866667,?,63958117e9438e16,1
131743,69,31.2,3732964.37219,283,2.4,4,80.6,9,1,0,5,3.4,1,300,23,2,39.333333,org.pol.jmgo.qoesurveyor,c8afba09e53d8531,1
215731,45.75,35.3,13398058.252427,28.5,1,3,12.333333,9,11,10,5,3,15,189.666667,22,4,49,?,8e16d706819d2e0c,1
215731,44,35.3,13398058.252427,81.5,1,3,79.666667,17,11,11,5,3.4,15,355.333333,22,4,44.333333,?,8e16d706819d2e0c,1
216460,15,35.7,61885.142521,16.333333,1,3,12.666667,10,13,12,3,3,15,780.5,22,4,52,?,8e16d706819d2e0c,1
216460,38.666667,35.4,45061224.489796,150.333333,2,3,37.5,9,13,13,5,3,15,300,22,4,45.4,?,8e16d706819d2e0c,1
47525,15,35,30337.805298,92.333333,1,3,91.666667,17,1,60,5,3.322222,8,352,22,3,49.5,org.pol.jmgo.qoesurveyor,8e16d706819d2e0c,1
320871,9,35.5,757.667419,718.5,1,3,214.5,17,8,67,5,3.254545,8,327.5,22,1.5,46.5,org.pol.jmgo.qoesurveyor,8e16d706819d2e0c,1
412732,13,35.05,4521739.130435,284,1,3,89.666667,17,10,69,5,3.318519,8,322,22,3,46.5,com.android.launcher,8e16d706819d2e0c,1
501611,15,36,2334.014616,383,1,3,327.666667,17,12,71,5,3,8,313,22,3.5,45,com.android.launcher,8e16d706819d2e0c,1
555105,16,36.366667,700.927014,380,1,3,346,17,13,72,5,3,8,312.333333,22,4,46.333333,com.android.launcher,8e16d706819d2e0c,1
17180,49,36.2,10636.061194,73,2,6,45,8,5,4,3.6,4,1,1611,23,4,36.2,?,e2f3a59016564a22,1
263371,47,37.5,38659.793814,93,2,6,33,8,7,6,3.6,4,1,1550,23,3,37.5,?,e2f3a59016564a22,1
62587,99.333333,28.933333,293847.566575,232.5,1,3,226.5,17,1,0,3,3.355556,1,230,22,3,44,com.sec.android.app.launcher,751666ecdd98bfd3,1
125120,60.555556,33.155556,1547.191706,280.333333,1,8,413.666667,17,1,3,3.818182,3.16,3,696.444444,24,4,33.055556,com.whatsapp,ffdd93d674719bbc,1
501304,57.666667,33.3,2387.243815,128.5,1,8,101,17,5,7,3.8,3.32,3,735.666667,24,4,33.2,com.whatsapp,ffdd93d674719bbc,1
559202,57,33.666667,35049.844435,249.25,1,8,73.5,17,6,8,3.8,3.4,3,702.666667,24,4,33.566667,com.whatsapp,ffdd93d674719bbc,1
932039,95,30.144,0,723,2.333333,8,26,8,8,10,3,3.4,3,814.333333,24,4,31,?,ffdd93d674719bbc,1
938746,84,32.65,0,73,2,8,53.333333,8,9,11,4,4,3,793.666667,24,4,31.7,?,ffdd93d674719bbc,1
339537,88,35.533333,25060.582777,58.333333,1,8,100.666667,17.333333,6,26,4,3.4,2,851,24,4,35.433333,com.google.android.youtube,ffdd93d674719bbc,1
389998,88,35.466667,31481.761768,78.666667,1,8,115,17.333333,7,27,3.357143,3.4,2,865,24,4,35.366667,com.google.android.youtube,ffdd93d674719bbc,1
