@relation 'data_filled_r-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,13'

@attribute alejado numeric
@attribute battery_l numeric
@attribute battery_t numeric
@attribute bw numeric
@attribute df_delay numeric
@attribute df_saltos numeric
@attribute ds numeric
@attribute dv_delay numeric
@attribute dv_saltos numeric
@attribute indice_en_prueba numeric
@attribute indice_intervalo numeric
@attribute mood numeric
@attribute ns numeric
@attribute prueba_nro numeric
@attribute ram numeric
@attribute sdk numeric
@attribute st numeric
@attribute t_cpu numeric
@attribute app_foreground {com.android.chrome,org.pol.jmgo.qoesurveyor,com.google.android.youtube,com.internet.speed.meter.lite,com.whatsapp,com.sec.android.app.launcher,com.samsung.android.email.provider,com.adobe.reader,com.android.settings,com.google.android.googlequicksearchbox,com.supercell.clashofclans,com.twitter.android,com.android.systemui,org.mozilla.firefox,com.google.android.apps.docs}
@attribute devid {63958117e9438e16,2440f9791015c9aa,c8afba09e53d8531,90a72847e24050d1,22dee25d96b05f3e,68af49bcc059f325,8e16d706819d2e0c,7bf44203a040cdc1,acf1f4860469c6fd,94693d24cc813c3f,21499054c7994fc4,7b3d12955096c795,e2f3a59016564a22,da864a689e433b5e,751666ecdd98bfd3,c4a9b97bec0deec7,ffdd93d674719bbc,11d70c1436d1ce27,4261a8320ddd09d0,2e9b9b3b97476bf5,1d966fc8f0e98430,9f174fc0bd3480a6,d88a327ce250630,9c19bb5d04be923e,790c227141314780,bbe3002f6e378eed,e64bbee157aededc,4192432e1cf42d52,6e85b338913ae764,d554e3b29fe24a3b,c35c6393398f7068,4c3dfa2cea50e9bb,332d672c51091609,61d848e7503b5852,867fe59be043d779,a1f8f29e35209a42,4504da30b01769b7,7e4cfd066dafa944,9de8b4b98c575ea5,5a92d851bc704d,a6fb86ca165ca918,65e49509039eb913,247e4508ec4521f9,6c3fa7f635a073f5,7caeb732fb3ad6af,344404a75543aaf0,0264ea70c8976793,3c66f51dbc94d163,dcceb1b848daf324,6f2a6c95c065c7a3,f25d48f8931ef23f,c43e0a23ab297d87,bd016d8f3093b6a4,867287031950897,a32d3af596578938,81410329db99223d,2f41118c2aee66ae,a208a7c4a26d8df7,d71847dfd6b46fcd}
@attribute mos {1,2,3,4,5}

@data
368362,43,24.633333,0.000002,136.333333,2,6,78.333333,8,6,5,3.5,4,1,1201.333333,24,2.333333,43.133333,?,63958117e9438e16,2
409308,86,33.3,0.000001,84.75,2,8,31,8,7,6,4,4,1,553.666667,24,3,33.3,com.android.chrome,2440f9791015c9aa,5
131743,69,31.2,0.000017,283,2.4,4,80.6,9,1,0,5,3.4,1,300,23,4,39.333333,org.pol.jmgo.qoesurveyor,c8afba09e53d8531,1
60000,16,29.7,0,35,1,6,19,9,1,0,3.5,4,1,372,24,2,42,?,90a72847e24050d1,5
485523,43,44.466667,0.000002,197.666667,1.333333,4,15.333333,9,12,11,5,3.4,1,320,23,4,55,com.google.android.youtube,22dee25d96b05f3e,5
479213,49,34.025,0,111.571429,2,8,45.428571,8,1,2,5,4,1,1275.333333,25,2,0.298667,?,68af49bcc059f325,3
14584,56,28.933333,0,153,1,3,105.333333,9,3,55,4,3.5,1,372,22,2,49.333333,?,8e16d706819d2e0c,2
118404,22,29.166667,0,153,1.2,4,80.6,9,2,1,3,3.4,1,460.666667,23,3,57,?,7bf44203a040cdc1,4
63958,99.333333,39.433333,0.000001,368.666667,1,8,78.666667,17,1,0,5,3.4,1,602,25,3,40.348667,com.internet.speed.meter.lite,acf1f4860469c6fd,5
68097,49,29.525,0.000013,2964.5,3,7,107.5,9,1,0,3,3.485714,1,538,23,4,30.125,?,94693d24cc813c3f,3
60883,24,29.166667,0.000004,281.333333,2,6,53.333333,9,1,0,3,3.4,1,790.666667,23,3,53.666667,?,21499054c7994fc4,5
23928,83,36.2,0,74.666667,1,5,34.5,8,2,17,4,4,1,405.75,25,4,35.275,com.whatsapp,7b3d12955096c795,4
15473,49,36.2,0.000001,73,2,6,45,8,3,2,3.6,4,1,1611,23,4,36.2,?,e2f3a59016564a22,3
438149,77,28.133333,0.000044,234,2,6,78,20,7,16,4,3.4,1,224,23,2,49.333333,com.whatsapp,da864a689e433b5e,5
62587,99.333333,28.933333,0,232.5,1,3,226.5,17,1,0,3,3.355556,1,230,22,2.333333,44,com.sec.android.app.launcher,751666ecdd98bfd3,1
281983,56,33.6,0.000001,107,2,7,48.666667,9,4,4,5,4,1,292.333333,24,4,49.666667,com.samsung.android.email.provider,c4a9b97bec0deec7,5
