_id,_rev,alejado,app_foreground,battery_l,battery_t,bw,devid,df_delay,df_saltos,ds,dv_delay,dv_saltos,indice_en_prueba,indice_intervalo,mood,mos,ns,prueba_nro,ram,sdk,st,t_cpu,ts_from,ts_to
31c54b0060fa1a0c1f7ccff3615e5505,1-05813332ada0f8277f6eb419cfc8dd3a,313734,,,,7.065722237962701e-07,63958117e9438e16,110.33333333333333,2.0,6,54.333333333333336,8.0,5,4,,4,4.0,1,1213.3333333333333,24,3.3333333333333335,42.333333333333336,1527697651029,1527697711029
31c54b0060fa1a0c1f7ccff3615eae0c,1-101bb92e3e275bd475c780bb5bf50177,409308,com.android.chrome,86.0,33.300000000000004,1.4029926167897202e-06,2440f9791015c9aa,84.75,2.0,8,31.0,8.0,7,6,4.0,5,,1,553.6666666666666,24,,33.300000000000004,1527695551281,1527695611281
31c54b0060fa1a0c1f7ccff3615eb6bd,1-f6adfa27dd86aafc063635315ed5fa24,131743,org.pol.jmgo.qoesurveyor,69.0,31.2,1.7333343110948153e-05,c8afba09e53d8531,283.0,2.4,4,80.6,9.0,1,0,5.0,1,3.4,1,300.0,23,,39.333333333333336,1528215559070,1528215619070
31c54b0060fa1a0c1f7ccff3615f1806,1-1fbe1d4a71af01282006777d6b420666,60000,,16.0,29.7,0,90a72847e24050d1,35.0,1.0,6,19.0,9.0,1,0,,5,,1,372.0,24,,42.0,1527624561785,1527624621785
31c54b0060fa1a0c1f7ccff3615f4c33,1-986f017ed20e0cc638105d11fba15ab2,158126,,47.0,43.7,2.984750254162431e-08,22dee25d96b05f3e,,,4,,,7,6,5.0,5,3.4,1,355.5,23,,54.0,1528248377859,1528248437859
31c54b0060fa1a0c1f7ccff3615fadea,1-c9579caa5d90f52bff45b105880bfbb8,188868,,,,7.551874135431077e-09,68af49bcc059f325,105.4,2.0,8,47.2,8.0,1,0,,2,4.0,3,1283.0,25,4.0,0.3225,1527538050115,1527538110115
31c54b0060fa1a0c1f7ccff3616176f7,1-c8c59ed35d2c6958df6e3710cf5bc919,38342,com.android.launcher,19.0,31.55,0,8e16d706819d2e0c,22.0,1.0,3,13.0,10.0,1,57,5.0,3,3.0,9,427.5,22,3.0,37.0,1526598363110,1526598423110
31c54b0060fa1a0c1f7ccff361620d88,1-21d1ec90782771e9e8027b6df38769ce,60000,org.pol.jmgo.qoesurveyor,,,9.121527974533758e-07,7bf44203a040cdc1,271.6666666666667,2.0,4,413.0,9.0,1,0,,3,3.4,1,225.5,23,,,1528253650352,1528253710352
31c54b0060fa1a0c1f7ccff3616251af,1-322033c4729a0c02116866d72b1e3991,63958,com.internet.speed.meter.lite,,,1.1537487708538191e-06,acf1f4860469c6fd,368.6666666666667,1.0,8,78.66666666666667,17.0,1,0,5.0,5,3.4,1,602.0,25,,40.34866666666667,1527542639110,1527542699110
31c54b0060fa1a0c1f7ccff3616256fe,1-858cb515f40d9192b4e0981808b438e5,68097,,,,1.2832170130497826e-05,94693d24cc813c3f,2964.5,3.0,7,107.5,9.0,1,0,3.0,3,3.485714285714286,1,538.0,23,,30.125,1528324093321,1528324153321
31c54b0060fa1a0c1f7ccff3616273a1,1-12df2d5e46ba142869997aeb86aa1551,170978,,23.0,29.866666666666664,1.099450475825403e-05,21499054c7994fc4,332.5,2.0,6,254.25,9.0,3,2,,5,,1,672.6666666666666,23,,53.333333333333336,1528397351584,1528397411584
31c54b0060fa1a0c1f7ccff361631898,1-aa45ec13376e5cd458a004f66dd3cc57,23928,com.whatsapp,,,1.5697338377693705e-07,7b3d12955096c795,,,5,,,2,17,,4,,1,405.75,25,,35.275000000000006,1528918709304,1528918769304
31c54b0060fa1a0c1f7ccff361635641,1-76861f326110bde3a2899ad461d9c5a8,263371,,47.0,37.5,7.395956734054433e-07,e2f3a59016564a22,93.0,2.0,6,33.0,8.0,7,6,3.6,1,,1,1550.0,23,,37.5,1527632562563,1527632622563
31c54b0060fa1a0c1f7ccff36163fe74,1-26e925016bd14d5fc880aedbd254c8d3,587943,com.google.android.youtube,76.0,28.266666666666666,1.1487808536524392e-08,da864a689e433b5e,434.0,2.0,6,1033.6666666666667,20.0,8,17,,5,3.2,1,261.3333333333333,23,,41.0,1528218577970,1528218637970
31c54b0060fa1a0c1f7ccff3616411e9,1-0b0733d8614e5bd1aa552b5746f05178,62587,com.sec.android.app.launcher,99.33333333333333,28.933333333333334,6.119898001699972e-09,751666ecdd98bfd3,232.5,1.0,3,226.5,17.0,1,0,3.0,1,3.3555555555555556,1,230.0,22,,44.0,1527692714059,1527692774059
31c54b0060fa1a0c1f7ccff361641898,1-af5eed82fb7f5c3a67fbc3b0c4aed81e,172278,com.android.vpndialogs,59.0,31.975,0,c4a9b97bec0deec7,139.5,2.0,7,44.75,9.0,1,0,,5,4.0,2,311.25,24,3.0,42.5,1528225724547,1528225784547
31c54b0060fa1a0c1f7ccff3616531e3,1-45681f0dfb09a03853a2d2f8f5211485,389998,com.google.android.youtube,88.0,35.46666666666667,5.509460175663739e-06,ffdd93d674719bbc,78.66666666666667,1.0,8,115.0,17.333333333333332,7,27,,1,3.4,2,865.0,24,4.0,35.36666666666667,1527633599658,1527633659658
31c54b0060fa1a0c1f7ccff361657c64,1-615db78b8373488352f3cd960b13fb1a,8226,,,,3.750977483708605e-07,11d70c1436d1ce27,,,6,,,1,3,,5,4.0,1,,24,,,1527623213633,1527623273633
31c54b0060fa1a0c1f7ccff36165905c,1-3c4c55e3d973f5397e758ce90cb35249,217179,org.pol.jmgo.qoesurveyor,,,0,4261a8320ddd09d0,,,6,,,1,0,5.0,5,4.0,1,164.25,22,,35.0,1528233401122,1528233461122
31c54b0060fa1a0c1f7ccff36165991d,1-45837dc4404f706b305d553654059cff,25892,org.pol.jmgo.qoesurveyor,,,3.0444292595123416e-07,2e9b9b3b97476bf5,,,8,,,1,0,3.357142857142857,3,,1,1561.0,26,,32.7,1527628142884,1527628202884
31c54b0060fa1a0c1f7ccff36165b526,1-aef2e728319596688d5746c7348f8b6a,170583,org.pol.jmgo.qoesurveyor,,,9.452438459359011e-05,1d966fc8f0e98430,67.75,2.0,8,47.75,8.0,3,2,4.0,3,4.0,2,852.0,23,,40.92733333333334,1527619295535,1527619355535
31c54b0060fa1a0c1f7ccff3616699b4,1-2b7de0d9b8d199f2b76854071510dbfa,33514,org.pol.jmgo.qoesurveyor,46.0,32.2,1.0873418776353727e-07,9f174fc0bd3480a6,,,2,,,1,0,,5,4.0,1,274.0,22,,32.2,1527623012125,1527623072125
31c54b0060fa1a0c1f7ccff36166c417,1-0630518d95b0159782e3e1998d300455,53043,org.pol.jmgo.qoesurveyor,66.0,34.8,1.1149494175097081e-06,d88a327ce250630,14.0,1.0,7,6.0,10.0,1,4,3.0,5,4.0,13,1303.0,24,,34.7,1525359682788,1525359742788
31c54b0060fa1a0c1f7ccff361699d55,1-e9858e4fb969965562f98f28180c5b68,222874,com.android.chrome,84.0,26.666666666666668,0,9c19bb5d04be923e,,,6,,,4,30,3.0,1,2.5,7,400.3333333333333,24,4.0,33.0,1527772851755,1527772911755
