@relation 'data_filled_r-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,13'

@attribute alejado numeric
@attribute battery_l numeric
@attribute battery_t numeric
@attribute bw numeric
@attribute df_delay numeric
@attribute df_saltos numeric
@attribute ds numeric
@attribute dv_delay numeric
@attribute dv_saltos numeric
@attribute indice_en_prueba numeric
@attribute indice_intervalo numeric
@attribute mood numeric
@attribute ns numeric
@attribute prueba_nro numeric
@attribute ram numeric
@attribute sdk numeric
@attribute st numeric
@attribute t_cpu numeric
@attribute app_foreground {com.android.chrome,org.pol.jmgo.qoesurveyor,com.android.launcher,com.internet.speed.meter.lite,com.whatsapp,com.google.android.youtube,com.sec.android.app.launcher,com.android.vpndialogs,com.google.android.apps.docs,com.adobe.reader,com.facebook.katana,net.oneplus.launcher,com.android.phone,py.com.itau.tokpag,com.facebook.lite}
@attribute devid {63958117e9438e16,2440f9791015c9aa,c8afba09e53d8531,90a72847e24050d1,22dee25d96b05f3e,68af49bcc059f325,8e16d706819d2e0c,7bf44203a040cdc1,acf1f4860469c6fd,94693d24cc813c3f,21499054c7994fc4,7b3d12955096c795,e2f3a59016564a22,da864a689e433b5e,751666ecdd98bfd3,c4a9b97bec0deec7,ffdd93d674719bbc,11d70c1436d1ce27,4261a8320ddd09d0,2e9b9b3b97476bf5,1d966fc8f0e98430,9f174fc0bd3480a6,d88a327ce250630,9c19bb5d04be923e,790c227141314780,bbe3002f6e378eed,e64bbee157aededc,4192432e1cf42d52,6e85b338913ae764,d554e3b29fe24a3b,c35c6393398f7068,4c3dfa2cea50e9bb,332d672c51091609,61d848e7503b5852,867fe59be043d779,a1f8f29e35209a42,4504da30b01769b7,7e4cfd066dafa944,9de8b4b98c575ea5,5a92d851bc704d,a6fb86ca165ca918,65e49509039eb913,247e4508ec4521f9,6c3fa7f635a073f5,7caeb732fb3ad6af,344404a75543aaf0,0264ea70c8976793,3c66f51dbc94d163,dcceb1b848daf324,6f2a6c95c065c7a3,f25d48f8931ef23f,c43e0a23ab297d87,bd016d8f3093b6a4,867287031950897,a32d3af596578938,81410329db99223d,2f41118c2aee66ae,a208a7c4a26d8df7,d71847dfd6b46fcd}
@attribute mos {1,2,3,4,5}

@data
313734,74.666667,41.166667,0.000001,110.333333,2,6,54.333333,8,5,4,5,4,1,1213.333333,24,3.333333,42.333333,?,63958117e9438e16,4
409308,86,33.3,0.000001,84.75,2,8,31,8,7,6,4,4,1,553.666667,24,4,33.3,com.android.chrome,2440f9791015c9aa,5
131743,69,31.2,0.000017,283,2.4,4,80.6,9,1,0,5,3.4,1,300,23,4,39.333333,org.pol.jmgo.qoesurveyor,c8afba09e53d8531,1
60000,16,29.7,0,35,1,6,19,9,1,0,5,4,1,372,24,2,42,?,90a72847e24050d1,5
158126,47,43.7,0,135,2.4,4,1033.666667,9,7,6,5,3.4,1,355.5,23,4,54,?,22dee25d96b05f3e,5
188868,46,33.166667,0,105.4,2,8,47.2,8,1,0,3.666667,4,3,1283,25,4,0.3225,?,68af49bcc059f325,2
38342,19,31.55,0,22,1,3,13,10,1,57,5,3,9,427.5,22,3,37,com.android.launcher,8e16d706819d2e0c,3
60000,38.333333,32.066667,0.000001,271.666667,2,4,413,9,1,0,5,3.4,1,225.5,23,3,57,org.pol.jmgo.qoesurveyor,7bf44203a040cdc1,3
63958,57,33.166667,0.000001,368.666667,1,8,78.666667,17,1,0,5,3.4,1,602,25,4,40.348667,com.internet.speed.meter.lite,acf1f4860469c6fd,5
68097,99.333333,23.696,0.000013,2964.5,3,7,107.5,9,1,0,3,3.485714,1,538,23,3,30.125,?,94693d24cc813c3f,3
170978,23,29.866667,0.000011,332.5,2,6,254.25,9,3,2,5,3.371429,1,672.666667,23,4,53.333333,?,21499054c7994fc4,5
23928,16,29,0,18.5,1,5,13,10,2,17,3,4,1,405.75,25,2,35.275,com.whatsapp,7b3d12955096c795,4
263371,47,37.5,0.000001,93,2,6,33,8,7,6,3.6,4,1,1550,23,3,37.5,?,e2f3a59016564a22,1
587943,76,28.266667,0,434,2,6,1033.666667,20,8,17,3,3.2,1,261.333333,23,3.333333,41,com.google.android.youtube,da864a689e433b5e,5
62587,99.333333,28.933333,0,232.5,1,3,226.5,17,1,0,3,3.355556,1,230,22,3,44,com.sec.android.app.launcher,751666ecdd98bfd3,1
172278,59,31.975,0,139.5,2,7,44.75,9,1,0,3,4,2,311.25,24,3,42.5,com.android.vpndialogs,c4a9b97bec0deec7,5
389998,88,35.466667,0.000006,78.666667,1,8,115,17.333333,7,27,4,3.4,2,865,24,4,35.366667,com.google.android.youtube,ffdd93d674719bbc,1
