@relation '1t_ai-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,17'

@attribute alejado numeric
@attribute app_foreground {com.whatsapp,org.pol.jmgo.qoesurveyor,com.android.vending,android,com.sec.android.app.launcher,com.google.android.youtube,com.android.launcher,com.internet.speed.meter.lite,com.android.chrome,com.netflix.mediaclient,com.android.vpndialogs,com.zerodesktop.appdetox.qualitytime,com.juvomobileinc.tigoshop.py,com.sec.android.app.sbrowser,com.spotify.music,com.google.android.apps.maps,com.lge.launcher2,com.huawei.android.launcher,com.samsung.android.spay,com.android.systemui,com.adobe.reader,com.android.settings,net.oneplus.launcher,com.google.android.gms,com.sonelli.juicessh,com.sonyericsson.home,com.twitter.android,com.google.android.apps.docs,com.android.launcher3}
@attribute battery_l numeric
@attribute battery_t numeric
@attribute bw numeric
@attribute devid {63958117e9438e16,2440f9791015c9aa,c8afba09e53d8531,90a72847e24050d1,22dee25d96b05f3e,68af49bcc059f325,8e16d706819d2e0c,7bf44203a040cdc1,acf1f4860469c6fd,94693d24cc813c3f,21499054c7994fc4,7b3d12955096c795,e2f3a59016564a22,da864a689e433b5e,751666ecdd98bfd3,c4a9b97bec0deec7,ffdd93d674719bbc,11d70c1436d1ce27,4261a8320ddd09d0,2e9b9b3b97476bf5,1d966fc8f0e98430,9f174fc0bd3480a6,d88a327ce250630,9c19bb5d04be923e,790c227141314780,bbe3002f6e378eed,e64bbee157aededc,4192432e1cf42d52,6e85b338913ae764,d554e3b29fe24a3b,c35c6393398f7068,4c3dfa2cea50e9bb,332d672c51091609,61d848e7503b5852,867fe59be043d779,a1f8f29e35209a42,4504da30b01769b7,7e4cfd066dafa944,9de8b4b98c575ea5,5a92d851bc704d,a6fb86ca165ca918,65e49509039eb913,247e4508ec4521f9,6c3fa7f635a073f5,7caeb732fb3ad6af,344404a75543aaf0,0264ea70c8976793,3c66f51dbc94d163,dcceb1b848daf324,6f2a6c95c065c7a3,f25d48f8931ef23f,c43e0a23ab297d87,bd016d8f3093b6a4,867287031950897,a32d3af596578938,81410329db99223d,2f41118c2aee66ae,a208a7c4a26d8df7,d71847dfd6b46fcd}
@attribute df_delay numeric
@attribute df_saltos numeric
@attribute ds numeric
@attribute dv_delay numeric
@attribute dv_saltos numeric
@attribute indice_en_prueba numeric
@attribute indice_intervalo numeric
@attribute mood numeric
@attribute ns numeric
@attribute prueba_nro numeric
@attribute ram numeric
@attribute sdk numeric
@attribute st numeric
@attribute t_cpu numeric
@attribute mos {1,2,3,4,5}

@data
104595,?,?,?,0.000001,63958117e9438e16,195.666667,2,6,56,8,1,0,?,4,1,1313.666667,24,4,36.966667,3
68500,com.whatsapp,87,31.566667,0.000001,2440f9791015c9aa,79.666667,2,8,30,8,1,0,4,4,1,648.333333,24,3,31.566667,5
131743,org.pol.jmgo.qoesurveyor,69,31.2,0.000017,c8afba09e53d8531,283,2.4,4,80.6,9,1,0,5,3.4,1,300,23,?,39.333333,1
196091,com.android.vending,65.5,33.35,0,c8afba09e53d8531,121.5,2,4,56.5,9,1,1,5,3.4,4,348.75,23,?,48.25,5
91076,android,61,34.366667,0.00002,c8afba09e53d8531,513.25,2,4,59.75,9,1,7,?,3.4,5,416.666667,23,?,49,5
3618959,?,?,?,0,c8afba09e53d8531,?,?,4,?,?,1,8,?,?,3,?,23,?,?,5
57815,com.sec.android.app.launcher,59.333333,30.566667,0.000031,c8afba09e53d8531,200,2,4,37.5,9,1,9,?,3.4,2,330,23,?,43.333333,5
60000,?,16,29.7,0,90a72847e24050d1,35,1,6,19,9,1,0,?,?,1,372,24,?,42,5
12591,?,?,?,0,22dee25d96b05f3e,?,?,4,?,?,1,0,?,?,1,?,23,?,?,5
188868,?,?,?,0,68af49bcc059f325,105.4,2,8,47.2,8,1,0,?,4,3,1283,25,4,0.3225,2
458745,?,?,?,0,68af49bcc059f325,84.666667,2,8,42.666667,8,1,1,?,4,2,1257.666667,25,4,0.320333,2
479213,?,?,?,0,68af49bcc059f325,111.571429,2,8,45.428571,8,1,2,?,4,1,1275.333333,25,2,0.298667,3
209984,?,?,?,0.00002,8e16d706819d2e0c,?,?,3,?,?,1,0,?,?,15,?,22,?,?,3
209984,?,?,?,0.00002,8e16d706819d2e0c,?,?,3,?,?,1,1,?,?,15,?,22,?,?,3
75917,com.google.android.youtube,13,37.4,0.000029,8e16d706819d2e0c,29,1,3,11,10,1,16,4.5,?,14,226,22,?,52,4
348604,com.google.android.youtube,15,38.1,0,8e16d706819d2e0c,33,1,3,15,10,1,18,?,3,3,825,22,4,58,5
138822,com.android.launcher,76,31.6,0,8e16d706819d2e0c,34.666667,1,3,33.666667,10,1,29,?,3,13,928.5,22,4,39,4
95545,com.android.launcher,78,33.933333,0,8e16d706819d2e0c,29,1,3,66,10,1,39,?,3,7,901,22,2,42.333333,4
63418,com.android.launcher,85,33.85,0,8e16d706819d2e0c,22.5,1,3,11.5,10,1,42,3.4,3,2,892.5,22,4,42.5,5
47586,com.google.android.youtube,71,36.05,0.000089,8e16d706819d2e0c,27.5,1,3,18.5,10,1,43,3,3,4,517,22,3,49,5
