@relation 'data_filled_r-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,13'

@attribute alejado numeric
@attribute battery_l numeric
@attribute battery_t numeric
@attribute bw numeric
@attribute df_delay numeric
@attribute df_saltos numeric
@attribute ds numeric
@attribute dv_delay numeric
@attribute dv_saltos numeric
@attribute indice_en_prueba numeric
@attribute indice_intervalo numeric
@attribute mood numeric
@attribute ns numeric
@attribute prueba_nro numeric
@attribute ram numeric
@attribute sdk numeric
@attribute st numeric
@attribute t_cpu numeric
@attribute app_foreground {com.whatsapp,org.pol.jmgo.qoesurveyor,com.android.vending,android,com.sec.android.app.launcher,com.google.android.youtube,com.android.launcher,com.internet.speed.meter.lite,com.android.chrome,com.netflix.mediaclient,com.android.vpndialogs,com.zerodesktop.appdetox.qualitytime,com.juvomobileinc.tigoshop.py,com.sec.android.app.sbrowser,com.spotify.music,com.google.android.apps.maps,com.lge.launcher2,com.huawei.android.launcher,com.samsung.android.spay,com.android.systemui,com.adobe.reader,com.android.settings,net.oneplus.launcher,com.google.android.gms,com.sonelli.juicessh,com.sonyericsson.home,com.twitter.android,com.google.android.apps.docs,com.android.launcher3}
@attribute devid {63958117e9438e16,2440f9791015c9aa,c8afba09e53d8531,90a72847e24050d1,22dee25d96b05f3e,68af49bcc059f325,8e16d706819d2e0c,7bf44203a040cdc1,acf1f4860469c6fd,94693d24cc813c3f,21499054c7994fc4,7b3d12955096c795,e2f3a59016564a22,da864a689e433b5e,751666ecdd98bfd3,c4a9b97bec0deec7,ffdd93d674719bbc,11d70c1436d1ce27,4261a8320ddd09d0,2e9b9b3b97476bf5,1d966fc8f0e98430,9f174fc0bd3480a6,d88a327ce250630,9c19bb5d04be923e,790c227141314780,bbe3002f6e378eed,e64bbee157aededc,4192432e1cf42d52,6e85b338913ae764,d554e3b29fe24a3b,c35c6393398f7068,4c3dfa2cea50e9bb,332d672c51091609,61d848e7503b5852,867fe59be043d779,a1f8f29e35209a42,4504da30b01769b7,7e4cfd066dafa944,9de8b4b98c575ea5,5a92d851bc704d,a6fb86ca165ca918,65e49509039eb913,247e4508ec4521f9,6c3fa7f635a073f5,7caeb732fb3ad6af,344404a75543aaf0,0264ea70c8976793,3c66f51dbc94d163,dcceb1b848daf324,6f2a6c95c065c7a3,f25d48f8931ef23f,c43e0a23ab297d87,bd016d8f3093b6a4,867287031950897,a32d3af596578938,81410329db99223d,2f41118c2aee66ae,a208a7c4a26d8df7,d71847dfd6b46fcd}
@attribute mos {1,2,3,4,5}

@data
15837,17,32.45,0.000001,27.666667,1,3,98.333333,7.333333,1,58,5,3.358621,10,355.5,22,3.25,40.5,com.android.launcher,8e16d706819d2e0c,2
104595,71,34.35,0.000001,195.666667,2,6,56,8,1,0,4,4,1,1313.666667,24,4,36.966667,?,63958117e9438e16,3
68500,87,31.566667,0.000001,79.666667,2,8,30,8,1,0,4,4,1,648.333333,24,3,31.566667,com.whatsapp,2440f9791015c9aa,5
188868,34.75,32.55,0,105.4,2,8,47.2,8,1,0,5,4,3,1283,25,4,0.3225,?,68af49bcc059f325,2
458745,34.75,32.55,0,84.666667,2,8,42.666667,8,1,1,5,4,2,1257.666667,25,4,0.320333,?,68af49bcc059f325,2
479213,69,28.7,0,111.571429,2,8,45.428571,8,1,2,5,4,1,1275.333333,25,2,0.298667,?,68af49bcc059f325,3
2761,100,27.275,0,250,2,5,226.5,8,1,16,4,4,1,400.4,25,4,35.36,com.whatsapp,7b3d12955096c795,4
12794,49,36.2,0.000001,73,2,6,45,8,1,0,3.6,4,1,1611,23,4,36.2,?,e2f3a59016564a22,5
108141,95,33.666667,0,144.333333,2,8,48.666667,8,1,12,3,3.2,8,674.333333,24,4,33.566667,com.whatsapp,ffdd93d674719bbc,3
86051,97,26.833333,0.000001,217,2,6,95.666667,8,1,0,4.5,4,3,495.333333,24,2,44.666667,com.juvomobileinc.tigoshop.py,11d70c1436d1ce27,5
217179,83,26.833333,0,118.666667,2.25,6,54,8,1,0,5,4,1,164.25,22,3,35,org.pol.jmgo.qoesurveyor,4261a8320ddd09d0,5
64037,41,38.366667,0,77,2,8,48.666667,8,1,0,4,4,2,1054.333333,23,3,37.393,org.pol.jmgo.qoesurveyor,1d966fc8f0e98430,3
58199,15,31.7,0.00001,83,2,8,50.666667,8,1,5,5,4,1,849,23,2,38.441,com.google.android.youtube,1d966fc8f0e98430,5
87438,78,33.6,0.00009,84.333333,2,8,53.333333,8,1,6,4,4,3,810,23,3,40.848667,com.google.android.youtube,1d966fc8f0e98430,5
58422,41.666667,34.366667,0,89,2,8,54,8,1,16,5,4,4,874,23,3,40.730667,org.pol.jmgo.qoesurveyor,1d966fc8f0e98430,5
68944,100,28.033333,0.000017,116.666667,2,6,64.333333,8,1,7,4,3.4,6,430,24,4,46.666667,com.google.android.apps.maps,9c19bb5d04be923e,5
59493,89,28.366667,0.000067,483.333333,2,6,153.333333,8,1,16,4.5,3.485714,1,378,24,4,41.333333,com.google.android.youtube,9c19bb5d04be923e,4
58890,83,34.3,0.000004,222.5,2.25,7,52.25,8,1,5,5,4,4,173,22,4,31,?,790c227141314780,4
51722,98,24.6,0,22.5,2,7,12,8,1,22,4,4,1,2464,22,2,33.566667,?,790c227141314780,5
64955,42,24.6,0.000001,83.666667,2,7,91.666667,8,1,0,3.5,4,3,563.666667,24,3,33,com.samsung.android.spay,6e85b338913ae764,5
88724,42,26.1,0,131.333333,2,7,151.333333,8,1,3,4.833333,4,2,970,24,3,32.5,com.whatsapp,6e85b338913ae764,5
80142,92,20.533333,0,87,2,7,54.5,8,1,11,5,4,1,905.666667,24,2.666667,26.333333,android,6e85b338913ae764,5
113620,75,28.4,0.000001,118.666667,2,6,58,8,1,0,3,4,1,534,24,3,41.666667,?,7e4cfd066dafa944,5
230260,73,29.133333,0,74.666667,2,6,69.333333,8,1,2,3,4,2,748,24,3,38.666667,?,7e4cfd066dafa944,4
84240,100,31.133333,0.000003,112.5,2,7,54.25,8,1,8,4,4,3,814.666667,24,4,31.133333,com.lge.launcher2,9de8b4b98c575ea5,4
60440,59.666667,38.766667,0.000021,292.666667,2,6,221.666667,8,1,0,4.5,3.352941,1,429.666667,22,4,56.333333,com.android.settings,5a92d851bc704d,5
120128,41,32,0.000006,71,1,9,58.333333,8,1,0,5,4,1,358.333333,26,4,0.456333,?,247e4508ec4521f9,5
60598,59,32.4,0.000002,50.666667,2,9,63,8,1,0,3,4,1,3182,27,3,32.4,com.google.android.youtube,0264ea70c8976793,3
73666,6,31.1,0,103.333333,2,3,52.333333,8,1,0,5,4,1,750,24,4,37.333333,com.android.vending,6f2a6c95c065c7a3,2
131743,69,31.2,0.000017,283,2.4,4,80.6,9,1,0,5,3.4,1,300,23,4,39.333333,org.pol.jmgo.qoesurveyor,c8afba09e53d8531,1
196091,65.5,33.35,0,121.5,2,4,56.5,9,1,1,5,3.4,4,348.75,23,4,48.25,com.android.vending,c8afba09e53d8531,5
91076,61,34.366667,0.00002,513.25,2,4,59.75,9,1,7,5,3.4,5,416.666667,23,4,49,android,c8afba09e53d8531,5
3618959,100,26.833333,0,116.666667,2,4,91.666667,9,1,8,5,3.4,3,177,23,4,50.666667,?,c8afba09e53d8531,5
57815,59.333333,30.566667,0.000031,200,2,4,37.5,9,1,9,5,3.4,2,330,23,4,43.333333,com.sec.android.app.launcher,c8afba09e53d8531,5
60000,16,29.7,0,35,1,6,19,9,1,0,4.727273,4,1,372,24,2,42,?,90a72847e24050d1,5
